sample_id	population_label	snps	100	503	marker_list	reference_group
1000002010	Control	6278	1	0	marker_list_example.csv	test.reference
1000002270	Control	6282	1	0	marker_list_example.csv	test.reference
1000002340	Control	6282	1	0	marker_list_example.csv	test.reference
1000002800	Control	6281	1	0	marker_list_example.csv	test.reference
1000005270	Control	6277	1	0	marker_list_example.csv	test.reference
1000183160	Control	6219	1	0	marker_list_example.csv	test.reference
1000209000	Control	6279	1	0	marker_list_example.csv	test.reference
1000320590	Control	6282	1	0	marker_list_example.csv	test.reference
1000333449	Control	6284	1	0	marker_list_example.csv	test.reference
1000333689	Control	6284	1	0	marker_list_example.csv	test.reference
5030029720	Control	6248	0	1	marker_list_example.csv	test.reference
5030029790	Control	6046	0	1	marker_list_example.csv	test.reference
5030029800	Control	6252	0	1	marker_list_example.csv	test.reference
5030030060	Control	6247	0	1	marker_list_example.csv	test.reference
5030030070	Control	6048	0	1	marker_list_example.csv	test.reference
5030030140	Control	6052	0	1	marker_list_example.csv	test.reference
5030334589	Control	6222	0	1	marker_list_example.csv	test.reference
5030334599	Control	6223	0	1	marker_list_example.csv	test.reference
5030334739	Control	6222	0	1	marker_list_example.csv	test.reference
5030334759	Control	6232	0	1	marker_list_example.csv	test.reference
